Country or region,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,name,region,sub-region,Terrorist_attacks
Saudi Arabia,1.403,1.357,0.795,0.439,0.08,0.132,Saudi Arabia,Asia,Western Asia,173.0
Georgia,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,0.043,0.16399999999999998,Georgia,Asia,Western Asia,18.0
Guinea,0.38,0.8290000000000001,0.375,0.332,0.207,0.086,Guinea,Africa,Sub-Saharan Africa,3.0
Lithuania,1.238,1.515,0.818,0.29100000000000004,0.043,0.042,Lithuania,Europe,Northern Europe,125.6111111
Netherlands,1.396,1.5219999999999998,0.9990000000000001,0.557,0.322,0.298,Netherlands,Europe,Western Europe,1.0
Uruguay,1.124,1.465,0.8909999999999999,0.523,0.127,0.15,Uruguay,Americas,Latin America and the Caribbean,125.6111111
Kyrgyzstan,0.551,1.4380000000000002,0.723,0.508,0.3,0.023,Kyrgyzstan,Asia,Central Asia,8.0
Mozambique,0.204,0.986,0.39,0.494,0.19699999999999998,0.138,Mozambique,Africa,Sub-Saharan Africa,22.0
Portugal,1.2209999999999999,1.431,0.9990000000000001,0.508,0.047,0.025,Portugal,Europe,Southern Europe,585.4347826000001
Germany,1.3730000000000002,1.454,0.987,0.495,0.261,0.265,Germany,Europe,Western Europe,23.0
Syria,0.619,0.37799999999999995,0.44,0.013000000000000001,0.331,0.141,Syria,Asia,Western Asia,1522.0
Australia,1.3719999999999999,1.548,1.036,0.557,0.332,0.29,Australia,Oceania,Australia and New Zealand,2.0
Senegal,0.45,1.1340000000000001,0.5710000000000001,0.292,0.153,0.07200000000000001,Senegal,Africa,Sub-Saharan Africa,8.0
Malawi,0.191,0.56,0.495,0.44299999999999995,0.218,0.08900000000000001,Malawi,Africa,Sub-Saharan Africa,1419.095238
Finland,1.34,1.587,0.986,0.596,0.153,0.39299999999999996,Finland,Europe,Northern Europe,57.33333333
Somalia,0.0,0.698,0.268,0.5589999999999999,0.243,0.27,Somalia,Africa,Sub-Saharan Africa,1637.0
Peru,0.96,1.274,0.8540000000000001,0.455,0.083,0.027000000000000003,Peru,Americas,Latin America and the Caribbean,18.0
Nicaragua,0.6940000000000001,1.325,0.835,0.435,0.2,0.127,Nicaragua,Americas,Latin America and the Caribbean,125.6111111
Greece,1.181,1.156,0.9990000000000001,0.067,0.0,0.034,Greece,Europe,Southern Europe,112.0
Qatar,1.6840000000000002,1.3130000000000002,0.871,0.555,0.22,0.16699999999999998,Qatar,Asia,Western Asia,57.33333333
Uzbekistan,0.745,1.5290000000000001,0.7559999999999999,0.631,0.322,0.24,Uzbekistan,Asia,Central Asia,125.6111111
South Africa,0.96,1.351,0.469,0.389,0.13,0.055,South Africa,Africa,Sub-Saharan Africa,41.0
Chile,1.159,1.369,0.92,0.35700000000000004,0.187,0.055999999999999994,Chile,Americas,Latin America and the Caribbean,25.0
France,1.324,1.472,1.045,0.436,0.111,0.183,France,Europe,Western Europe,97.0
Palestinian Territories,0.657,1.247,0.672,0.225,0.10300000000000001,0.066,Palestinian Territories,Asia,Western Asia,122.0
Poland,1.206,1.4380000000000002,0.884,0.483,0.11699999999999999,0.05,Poland,Europe,Eastern Europe,2.0
Nigeria,0.696,1.111,0.245,0.426,0.215,0.040999999999999995,Nigeria,Africa,Sub-Saharan Africa,1327.0
Burundi,0.046,0.447,0.38,0.22,0.17600000000000002,0.18,Burundi,Africa,Sub-Saharan Africa,155.0
Rwanda,0.359,0.711,0.614,0.555,0.217,0.41100000000000003,Rwanda,Africa,Sub-Saharan Africa,20.0
